disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
3601,,,,,,,,,,,3de68baba960e69da445cf822d3dd859081fb34a,2023-10-09T23:02:26.341Z,faafecca-0f76-4fb8-8ffd-b6f46f3b712c
3602,,,,,,,,,,,58566c446fce5cabbd0c3412a6bb3daa4ada1993,2023-10-09T23:02:26.341Z,b74f0dc2-fab5-42b9-acf7-c94df14d85ad
1239,,,,,8225378.98,4219882.47,3961713.95,2023-11-02T00:00:00.000Z,,3887494,bd967c276382bf336d01a5d9992d9519f439e4be,2023-11-02T04:02:44.321Z,b58e6f9a-561f-4ecb-8506-06e513252989
1257,,,,,33279674.22,9756691.41,23183628.92,2023-11-02T00:00:00.000Z,,18906913,c7f61a76975428cab32d076b338c73f4bd23a75e,2023-11-02T04:02:44.321Z,ce1cdcd5-1752-455e-bd98-9482c4446063
1260,,,,,9863594,3896685.75,5833055.72,2023-11-02T00:00:00.000Z,,1875688,f1d0ef6b6ac5f6ed9f088fe668640a6cb511a578,2023-11-02T04:02:44.321Z,5813d1e8-9733-4a4e-b736-1cd9fd7cf1a6
1261,,,,,5735788.21,2349946.79,3385841.42,2023-11-02T00:00:00.000Z,,1096729,eb27ace763d712ed2715b3dc62ac61b56a886f39,2023-11-02T04:02:44.321Z,cebb394d-eb9c-4026-beaf-dc0e0eb3fc0e
1262,,,,,15377362.84,4437805.23,10793815.08,2023-11-02T00:00:00.000Z,,1494499,d58615ea8183e97726bc15b7c213982c44e69306,2023-11-02T04:02:44.321Z,a1b42505-12b4-43af-bf25-8d1fce96cb51
1264,,,,,3033110.28,882780.99,2135164.26,2023-11-02T00:00:00.000Z,,915473,ee0449bcbccefb8df5e5a3b481c63626f812cd49,2023-11-02T04:02:44.321Z,78d2b1d2-9c90-4646-8219-650bffe5c50e
1265,,,,,6970269.48,2590192.47,4349918.09,2023-11-02T00:00:00.000Z,,1319820,cd595da342e9d8ab317b6995cbaf8f0b44d1e3b3,2023-11-02T04:02:44.321Z,76b21810-50e4-41e6-9675-5d2e04918999
1266,,,,,7265330.4,4572203.46,2603875.52,2023-11-02T00:00:00.000Z,,3634575,358d1e879da589a92741dbf890bf0983e2e457f6,2023-11-02T04:02:44.321Z,56ee9181-6866-49f3-875e-564cb2f1517d
1268,,,,,721979.29,43929.52,655398.71,2023-11-02T00:00:00.000Z,,120352,080ee35d7bcd4c00c1501778ac1554ecc648b572,2023-11-02T04:02:44.321Z,4362519f-d5e5-484a-bc0c-89431189988b
1269,,,,,1737569.4,898066.5,810242.78,2023-11-02T00:00:00.000Z,,1037030,b38d2856403acc5579b991d725151e179c7f3d2f,2023-11-02T04:02:44.321Z,343c8616-99ac-4c00-851a-c5d605b96919
1271,,,,,1868757.98,1691960.54,176797.44,2023-11-02T00:00:00.000Z,,495343,f20d221d704e09ca8a4abf484e85f7f9d1bba15e,2023-11-02T04:02:44.321Z,883df023-2e15-4178-ba16-b722c04485e2
1272,,,,,40588743.22,29892462.64,10342694.45,2023-11-02T00:00:00.000Z,,12665798,6c19ccb4b5ee197cb881f55719b0353659ce970d,2023-11-02T04:02:44.321Z,38c73d0c-c237-4436-a341-f0d27640f1fb
1273,,,,,3144097.57,2597610.34,546487.23,2023-11-02T00:00:00.000Z,,1764725,787060a44aec25e4d3c3ab363138cfe9adf636fb,2023-11-02T04:02:44.321Z,6cb73833-a815-4525-a7f2-354e0b8778ad
1274,,,,,1525086.7,1060865.15,587622.94,2023-11-02T00:00:00.000Z,,778869,0c08e2e4118889d50ac4120f5ea475efb1df3261,2023-11-02T04:02:44.321Z,c4dd3ece-43d4-4bc2-a314-7aa4636a762d
1275,,,,,5322523.58,2426827.39,2821849.55,2023-11-02T00:00:00.000Z,,853245,b3493e17c0830584781148f71332c51377771a8a,2023-11-02T04:02:44.321Z,f80274f3-b22d-4a37-9cee-633fa89809f9
1276,,,,,5242416.68,546984.2,4587872.59,2023-11-02T00:00:00.000Z,,1158596,30d204b43eb46a2a0dc63e07f0776574d50b5973,2023-11-02T04:02:44.321Z,5f94f3bf-3226-48cf-9f9e-50701dfd457a
1277,,,,,8534710.43,1862546.18,6422742.96,2023-11-02T00:00:00.000Z,,2449736,f78ddb080b1f3307a1c265a08fd5daf4038793ec,2023-11-02T04:02:44.321Z,6f892725-b63b-4e45-a25f-bcce249035e1
1278,,,,,501235.42,20563.57,469397.28,2023-11-02T00:00:00.000Z,,113954,952358a82c2951e66601726c8799bece24ebf329,2023-11-02T04:02:44.321Z,d0ae29c2-e8c4-4906-8fd0-eaa54d8c72de
1279,,,,,48334834.63,3905669.96,43752362,2023-11-02T00:00:00.000Z,,11742244,22dcd1d90cae6ed696ee3b5ee401d3306f7119d1,2023-11-02T04:02:44.321Z,b89c78a8-2240-4d10-9a78-13982b862a99
1280,,,,,801099.77,621063.41,162372.31,2023-11-02T00:00:00.000Z,,1152684,0192fea021e72dc2fb553a102cdd73b57df95d32,2023-11-02T04:02:44.321Z,ddbd2317-b143-420e-b3e1-339b6d67a8bd
1281,,,,,4736115,429615.84,4190877.14,2023-11-02T00:00:00.000Z,,704930,7f6c875fcb1cdd2561d8e1aec1fe2852a5f0fa2c,2023-11-02T04:02:44.321Z,b4711721-80bc-4304-8146-8eff355e92c9
1282,,,,,10955690.74,1814403.47,8883933.06,2023-11-02T00:00:00.000Z,,2636499,06591f6386ca4be115c9828b896268ef70f5378f,2023-11-02T04:02:44.321Z,bfd7c4df-0ac9-44b9-bf41-15d4e2570e9e
1283,,,,,11679939.6,3332720.86,8260184.09,2023-11-02T00:00:00.000Z,,2769144,fd7e2021c3c0f6b7d484e722ceca4441bdd3d864,2023-11-02T04:02:44.321Z,0c3b5874-ba66-45e8-bea0-b84821e0e567
1284,,,,,4064691.72,950005.26,3086906.66,2023-11-02T00:00:00.000Z,,641581,7509efa85f0786a6ff342d033a94afb94abc4a66,2023-11-02T04:02:44.321Z,6226df68-6fa8-4e9f-9ce0-6ba555d97043
1285,,,,,518798.92,331705.11,182722.6,2023-11-02T00:00:00.000Z,,86350,7cdd0c7b6778518a250f0a2844e7f25adc03d084,2023-11-02T04:02:44.321Z,d35d3ef5-e526-4bef-9198-3620a46d695f
1286,,,,,2083481.55,147935.45,1935546.1,2023-11-02T00:00:00.000Z,,621569,9bc2c4b3f8d8cb3ccb159303e14b87c1cdfa7f47,2023-11-02T04:02:44.321Z,034149a3-5822-4423-b76e-39dbb2232bcf
1267,,,,,,,,,,2167204,1ba476aa5b95b344e79f9ed5c0b1442849ccb5e0,2023-03-18T13:22:12.883Z,0f5ed8dd-d8e5-4328-9155-372206b47182
1287,,,,,3704291.45,2689766.86,906909.42,2023-11-02T00:00:00.000Z,,3182052,3921d902809da8cd67d69da6f2c3b41cdffd7d45,2023-11-02T04:02:44.321Z,2ebaaab9-4c2c-45f3-a543-aa3d252d4c98
1288,,,,,7734889.99,727111.27,6928401.83,2023-11-02T00:00:00.000Z,,1359545,88b871a734eba8282ac389ae82079d9a862ae978,2023-11-02T04:02:44.321Z,4a3182df-82c3-49bf-8755-420eb8760626
1270,,,,,,,,,,319783,bb3c5cb8faf9c3e5606bd3f86ff09da517907068,2023-03-18T13:22:12.883Z,df214994-59d2-4075-b52c-894f7f4b358e
1289,,,,,785818.09,84066.71,685083.81,2023-11-02T00:00:00.000Z,,305977,db3279ab91ec50d2ed425f03d28f74907c0e27c6,2023-11-02T04:02:44.321Z,81b137fb-09c1-4c86-af97-00fdb68c54fb
1292,,,,,298105794.06,143602692.89,150485207.39,2023-11-02T00:00:00.000Z,,67665966,e2c4aca5d4b9f8865d61d0ec9dca2ef392b96c56,2023-11-02T04:02:44.321Z,caa883ae-59a6-422b-96d6-6ac016fdc2b9
1293,,,,,19890308.77,8206956.08,11605641.68,2023-11-02T00:00:00.000Z,,4034816,180c5d373ba48554bcea64e5a39e57d8a15a3044,2023-11-02T04:02:44.321Z,6a4a6d2f-d4b0-409a-b430-e1440ead731f
1294,,,,,10347269.34,4079425.04,5840828.95,2023-11-02T00:00:00.000Z,,4277685,c75dcab8e8475af3204f5e35acc7348d23bf174d,2023-11-02T04:02:44.321Z,0b496465-4d84-4082-8058-f56453ff345d
1295,,,,,38703382.74,17818465.28,20285139.28,2023-11-02T00:00:00.000Z,,9436261,f2a0a9e01a5b9f2d53ef9ae41c71d08879c2f1bb,2023-11-02T04:02:44.321Z,87edb71a-b331-4ee5-b6e2-d45bca2840af
1296,,,,,41182922.07,10759369.68,29436671.56,2023-11-02T00:00:00.000Z,,4413443,c1ec1f5a6ccde15640ac7561629ad8c343c3f9ae,2023-11-02T04:02:44.321Z,3d8f2704-c1d8-47a7-95bb-d12936af9320
1297,,,,,3374929.57,413506.66,2970485.64,2023-11-02T00:00:00.000Z,,831368,e00e61513558b5bd62c062a754862cee2dbfc6e6,2023-11-02T04:02:44.321Z,92444247-d58a-4e8e-94bc-0488ed14ea44
1299,,,,,20544924.45,13046343.17,7178637.83,2023-11-02T00:00:00.000Z,,6074584,6b3236e48793f45cb169849ec51ae4af3aa3924c,2023-11-02T04:02:44.321Z,d780a8eb-01f2-4c95-831f-a2824c03c9ae
1300,,,,,34309695.49,16704381.41,17070710.07,2023-11-02T00:00:00.000Z,,3599288,361813baa3185c18da9d831186f5b04f0741a9e4,2023-11-02T04:02:44.321Z,fa92713e-abef-4dc0-bc4b-953a37b1fc31
1301,,,,,1968329.67,18254.17,1953360.86,2023-11-02T00:00:00.000Z,,7803,e6dbce52e69e4a566ae3b2cf1d162841daf74391,2023-11-02T04:02:44.321Z,725f2704-5fa2-46ed-90d1-50f9c99b37ea
1302,,,,,1875868.51,590763.4,1224126.36,2023-11-02T00:00:00.000Z,,107462,ce17f652557cced5a8097d79f708b4e34bc5ea17,2023-11-02T04:02:44.321Z,2c256fa3-f0c1-4b70-95db-7053e9678258
1303,,,,,5462529.93,1195275.68,4267254.25,2023-11-02T00:00:00.000Z,,1061424,5b3d0006e3eaf3f5d91e3fb3045c73d2f7129092,2023-11-02T04:02:44.321Z,546104df-4cbd-4bb5-8500-583cc464c068
1305,,,,,594693.82,73108.21,521585.61,2023-11-02T00:00:00.000Z,,11345,9d754fd65aaa8e247bb59e8ad00ccd86978da28b,2023-11-02T04:02:44.321Z,e4e3a0b3-d2af-4398-827d-d1e942d0eda4
1306,,,,,106261560.28,32644798.12,72246572.61,2023-11-02T00:00:00.000Z,,21423043,86684da0b1eeb434be1acd065cb95f1998a75a07,2023-11-02T04:02:44.321Z,64988d68-e47e-4dd7-8c62-ddc2a663100b
1307,,,,,1010652.61,397663.92,612988.69,2023-11-02T00:00:00.000Z,,111961,202f582abab2b1ee068e40163a96d3f7dc105243,2023-11-02T04:02:44.321Z,96254f26-e637-4204-b7e5-b3a4ccdc50ac
1308,,,,,920741.26,21376.49,880889.25,2023-11-02T00:00:00.000Z,,136145,c1eb1138e06ea0099e6180f08112b0049b23ac84,2023-11-02T04:02:44.321Z,eb1e5800-ef1e-4849-8c8d-5e67b4a66130
1309,,,,,4844695.58,1257343.05,1891051.87,2023-11-02T00:00:00.000Z,,1847365,b45b858318c16806dbbc1b4fd289058a71d504a1,2023-11-02T04:02:44.321Z,e762b1c6-03a5-473f-b7ef-c69939f1242f
1310,,,,,4680340.29,1386231.25,3245139.39,2023-11-02T00:00:00.000Z,,250405,944fc913a47fd5f3baa0735e830d975b9a50661a,2023-11-02T04:02:44.321Z,c07a0957-bdc2-4e77-a89a-4bbb1c66d6d4
1311,,,,,36909135.59,26066940.79,10849669.36,2023-11-02T00:00:00.000Z,,5289650,24117d18815d6cd866d52c82a9a2c558f765b208,2023-11-02T04:02:44.321Z,cc4d5dcd-3572-4b8c-8210-aedc72b06bce
1290,,,,,,,,,,200782,fbe5b8caa213cd388e1d7773b121c3c74559a5fb,2023-03-18T13:22:12.883Z,ffca81a5-0830-4f1c-b088-0ff4d5bb8e8a
1291,,,,,,,,,,381636,8f0f0908874eb215f6e3d73799c8e8d2d29da7b3,2023-03-18T13:22:12.883Z,38aea223-c601-4817-a74e-de666d29392a
1312,,,,,27368107.85,20690288.33,6631775.1,2023-11-02T00:00:00.000Z,,3453353,70a1d3a80013f36e3a822e45400671f5080478cb,2023-11-02T04:02:44.321Z,11cbcdd9-591b-452a-a983-cbd793c87949
1241,,,,,,,,,,302741,185f4706b8bee0537badc0126c55da717775e812,2023-10-09T02:24:46.659Z,f91f1449-8cd3-4923-9a60-4f8a8ad78ae7
5470,,,,,,,,,,0,632c31ecf93420da7e44985de106552e90994371,2023-07-25T23:02:30.960Z,7c3f1b5f-90fc-45ae-b2a0-c10969b52fe1
5471,,,,,,,,,,0,84b7241d62b7bf982f1fae0f56d0e4b3b20712bb,2023-07-25T23:02:30.960Z,7c917300-8f0a-4d84-b574-d27e98859baa
1313,,,,,8726361.63,3164581.04,5580429.08,2023-11-02T00:00:00.000Z,,1311471,26e5237d0e4d0edbcedd9e2cf1449af1e00967ee,2023-11-02T04:02:44.321Z,dc31b215-9310-42d4-9233-4ef7822f624c
1314,,,,,2605294.29,1170005.58,1430613.75,2023-11-02T00:00:00.000Z,,405517,5d98a279ab48f4e6faa83d85271bdcbcd0ed7a3e,2023-11-02T04:02:44.321Z,50eb02a7-cab9-4b0d-908a-0e6625a50aae
1298,,,,,,,,,,195648,becd78b29db0e564a86dcc166b1b06bfed63acc0,2023-03-18T13:22:12.883Z,59620891-042b-4587-9129-74bd8a151fd1
1315,,,,,2043473.79,1256195.35,847752.31,2023-11-02T00:00:00.000Z,,662973,0f91b5dd833d21cefd5ab9f99251022d19f51cd3,2023-11-02T04:02:44.321Z,bd05af8f-d23a-4ea5-87b0-b73228fd2127
1316,,,,,10798817.35,6382892.52,4291133.67,2023-11-02T00:00:00.000Z,,1583458,c0c10caef32ccbd0034f202edede7e5c9052ed1e,2023-11-02T04:02:44.321Z,bfe1ea70-4a53-4916-b97d-53cdf9411b23
1317,,,,,3394920.15,1502165.83,1892754.32,2023-11-02T00:00:00.000Z,,438084,596a8578b0fffe51b3140703b17d5be191147a4f,2023-11-02T04:02:44.321Z,80333ce7-37ae-4982-9610-2d62d4d9343b
1318,,,,,13588960.08,13193223.02,451699.92,2023-11-02T00:00:00.000Z,,1454376,2c05bfb3cd3a26d032df4394109a003dc2d99c81,2023-11-02T04:02:44.321Z,e9c37a2d-45bb-4d30-8dc8-2d591b848af7
1319,,,,,5134082.94,329668.71,4780114.36,2023-11-02T00:00:00.000Z,,1289906,bb034e73ae771a9cafcf9ac88b92badf71aedeab,2023-11-02T04:02:44.321Z,223631ff-bb7c-46b4-9cfd-649a8a67ce51
1304,,,,,,,,,,10446,eca700838aea4566bc4c5c046cb6fa2aa4f9c5be,2023-03-18T13:22:12.883Z,d0f1709b-70b0-4742-a8db-087a0cf406cb
1320,,,,,2820111.53,245508.68,2514961.75,2023-11-02T00:00:00.000Z,,420140,1b319aea7099a01af325d95a3af05117c27136fd,2023-11-02T04:02:44.321Z,cb1f7735-2957-42d2-9309-548b7d6751e6
1323,,,,,3773011.29,2434987.46,1282012.04,2023-11-02T00:00:00.000Z,,556864,582413b157429f3add82b87dff30fe2fb6d88a84,2023-11-02T04:02:44.321Z,24a888e9-24ac-4481-b4e8-8d9ba67f1b16
1324,,,,,10907868.92,10902315.84,-40533.34,2023-11-02T00:00:00.000Z,,1613748,1a56139852d125fd82d21fc8b4713685315186fa,2023-11-02T04:02:44.321Z,544e8a8d-48a9-40b4-82fa-d296725fb153
1325,,,,,1354522.51,1343225.92,,2023-11-02T00:00:00.000Z,,98973,cadaf0802ea58b8f9fbd8f403041618b0dc6a854,2023-11-02T04:02:44.321Z,1734d68d-279a-412a-9825-614753f2195c
